Web Page URL,Number of Images, List of URLs referenced on the webpage
https://franchisesuppliernetwork.com/resources/,14,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/supplier-wire-037/', 'https://franchisesuppliernetwork.com/strategy-meets-innovation-find8/', 'https://franchisesuppliernetwork.com/leveraging-technology-marketing-scorpion/', 'https://franchisesuppliernetwork.com/woven-lms-usage-franchisor-roi/', 'https://franchisesuppliernetwork.com/serviceminder-mosquito-squad-a-buzzing-business-triples/', 'https://franchisesuppliernetwork.com/expanding-through-strategic-real-estate-development/', 'https://franchisesuppliernetwork.com/k9-resorts-smappen/', 'https://franchisesuppliernetwork.com/supplier-wire-036/', 'https://franchisesuppliernetwork.com/morrow-hill-franchise-ascension-initiative/', 'https://franchisesuppliernetwork.com/awarity-programmatic-ads/', 'https://franchisesuppliernetwork.com/understanding-cam-charges/', 'https://franchisesuppliernetwork.com/supplier-wire-035/', 'https://franchisesuppliernetwork.com/resources/page/2/', 'https://franchisesuppliernetwork.com/resources/page/3/', 'https://franchisesuppliernetwork.com/resources/page/4/', 'https://franchisesuppliernetwork.com/resources/page/5/', 'https://franchisesuppliernetwork.com/resources/page/10/', 'https://franchisesuppliernetwork.com/resources/page/15/', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/about/,7,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/contact/,2,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/featured-supplier/one-click-contractor/,3,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/one-click-contractor/', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/featured-supplier/discover-my-franchise/,3,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/franchise-supplier-wire-024/', 'https://franchisesuppliernetwork.com/wp-content/uploads/2023/07/DMF_Brochure.pdf', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/featured-supplier/pandologic/,3,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/supplier-wire-029/', 'https://franchisesuppliernetwork.com/wp-content/uploads/2023/06/pandoIQ-and-pandoSELECT-Franchise-One-Sheet.pdf', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/featured-supplier/franfund/,3,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/franfund-voted-1-financing-franchise-supplier-by-entrepreneur-magazine/', 'https://franchisesuppliernetwork.com/franchise-supplier-wire-019/', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/featured-supplier/lineup-ai/,3,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/franchise-supplier-wire-023/', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/featured-supplier/profitkeeper/,3,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/fsn-members']"
https://franchisesuppliernetwork.com/featured-supplier/david-energy/,3,"['https://franchisesuppliernetwork.com/', 'https://franchisesuppliernetwork.com/assessment/', 'https://franchisesuppliernetwork.com/fsn-suppliers/', 'https://franchisesuppliernetwork.com/fsn-suppliers/financial-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/human-resources-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/marketing-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/operation-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/real-estate-services/', 'https://franchisesuppliernetwork.com/fsn-suppliers/legal-services/', 'https://franchisesuppliernetwork.com/supplier-memberships/', 'https://franchisesuppliernetwork.com/resources/', 'https://franchisesuppliernetwork.com/about/', 'https://franchisesuppliernetwork.com/contact/', 'https://franchisesuppliernetwork.com/fsn-members']"
